profile,label,weights,fixed_rule_score,rl_only_score,schema_rule_score,full_stack_score,full_minus_fixed,full_minus_rl,best_method,best_label
nominal,Nominal,"(130,18,0.12,0.35,0.05)",-0.4413617754816392,-1.4229906939126868,-0.4413617754816392,0.7427776993724616,1.1841394748541008,2.1657683932851484,full_stack,Full stack
rescue_heavy,Rescue-heavy,"(160,18,0.12,0.35,0.05)",2.441105633870389,1.312660890451192,2.441105633870389,3.8270612676488454,1.3859556337784564,2.5144003771976533,full_stack,Full stack
safety_heavy,Safety-heavy,"(130,30,0.12,0.50,0.05)",-4.826631105476197,-5.810911290672134,-4.826631105476197,-3.3053109606393862,1.5213201448368103,2.505600330032748,full_stack,Full stack
communication_heavy,Comm-heavy,"(130,18,0.12,0.35,0.35)",-2.601361775481639,-3.5469906939126865,-2.601361775481639,-1.2871423006275384,1.3142194748541007,2.2598483932851483,full_stack,Full stack
speed_first,Speed-first,"(130,18,0.65,0.35,0.05)",-24.473607587552852,-26.9988024442157,-24.473607587552852,-24.68404893073203,-0.21044134317917695,2.3147535134836694,fixed_rule,Fixed rule
