method,regime,mission_time,rescue_success,formation_error,communication_load,violation_rate,reward,composite_score
fixed_rule,standard,26.380418938972802,0.23898493824594513,3.744411505206779,7.2,0.15913957145591356,-8.070145134249989,23.367335386267314
q_full_stack,standard,27.403853122836583,0.24555681138552934,3.274454996717759,6.840833333333334,0.14774902856682165,-6.195739960985073,24.486339675657753
deep_rl_only,standard,26.613992412190388,0.2371504212941278,3.73254632845421,6.4,0.1591720602796478,-7.968179450092328,23.144387378781133
deep_prior_safety,standard,27.288928907518855,0.2475539017913532,3.2612041960149574,7.632000000000001,0.14713797648642818,-6.233887721630608,24.735830718612714
fixed_rule,stress,41.48105960345232,0.11039790561459986,4.324675637560988,7.2,0.30411092751357904,-17.005165278502425,2.026367409092934
q_full_stack,stress,45.65050735996121,0.11761151096303958,3.5700139072586037,6.417000000000001,0.2863541925911762,-24.143377655557508,3.0867052078181163
deep_rl_only,stress,41.767497422529445,0.10950874456254675,4.294602113619609,6.4,0.3035915757551972,-16.9300372119823,1.936277999067131
deep_prior_safety,stress,44.23869360569711,0.11956600138853345,3.4905393603780444,7.632000000000001,0.2842930340917249,-23.317561566106004,3.514373558042332
