method,regime,mission_time,rescue_success,formation_error,communication_load,violation_rate,reward,composite_score,episodes
full_stack,stress,57.39753496845124,0.09323028757220715,4.061045110446676,6.104,0.2990699792963958,-31.079844073310138,-1.8775922278186794,120
rl_only,stress,44.55633558601487,0.09625774039494414,4.528152484269231,6.94,0.3088619490688541,-18.775996697393683,-0.32462247171265074,120
full_stack,stress,49.419095121496476,0.10134994732781746,3.687818330293348,6.492000000000001,0.2895598445721249,-26.44199364388435,0.41778812013577465,240
rl_only,stress,48.15350318499544,0.08804105120407653,4.547293785376016,8.74,0.3105977279637422,-19.90411002957153,-1.952395653898469,240
full_stack,stress,48.108562686516144,0.1024519255829616,3.649119015602018,7.0596000000000005,0.2885321431280926,-25.72596780676075,0.7219725716366976,420
rl_only,stress,44.584933100937796,0.09622859573292429,4.5315271587686,7.01,0.3089408550537634,-18.79797751816524,-0.33794442336912844,420
full_stack,stress,46.0488312353367,0.09884239080191322,4.008899193925873,6.800400000000001,0.2970248326161852,-27.17247068014498,0.23406935104292542,720
rl_only,stress,45.6981379563987,0.09747748508630354,4.505015282398409,6.84,0.3081577714770785,-19.1555231568138,-0.2772987289752415,720
