method,runs,episodes_per_run,mean_return,mean_return_std_across_runs,mean_tracking_error,mean_tracking_error_std_across_runs,mean_target_distance,mean_target_distance_std_across_runs,mean_tail100_target_distance,mean_tail100_target_distance_std_across_runs,mean_target_lost,mean_target_lost_std_across_runs
Random policy (tau6),1,6,-338.7418116607393,0.0,0.9511897589222231,0.0,0.9661897589222231,0.0,1.086727324828918,0.0,0.8145833333333333,0.0
Random policy (semantic velocity3),1,6,-113.41456633542354,0.0,0.7614361846266529,0.0,0.7764361846266531,0.0,0.9337179862888405,0.0,0.6295833333333333,0.0
MAPPO smoke checkpoint,2,6,1104.717189386487,12.929553255438805,0.038019952119927126,0.005509553057996275,0.051932628730898475,0.005665348911123372,0.06743106651650896,0.02073210270803346,0.0028750000000000004,0.0028750000000000004
STG-MAPPO smoke checkpoint,2,6,740.6955851096038,2.4888265427823058,0.11606078473463571,0.004209301172689819,0.13086922256675507,0.0042037047486689905,0.13757345586774877,0.0051702402658539565,0.0,0.0
