method,regime,mission_time,rescue_success,formation_error,communication_load,violation_rate,reward,composite_score
q_only,standard,25.457220630250976,0.2505134306936491,3.502299210522328,6.37,0.15739010672845202,-6.657822821368043,25.134552869749317
prior_only,standard,25.239996682619285,0.2519890935666515,3.5013821891513004,6.46,0.15713382619860905,-6.011765469443151,25.352889923972462
safety_only,standard,26.246297222224978,0.25577230154079184,3.237990244990933,6.5600000000000005,0.15073389015121852,-6.249139443306493,25.926336925167178
prior_safety,standard,25.772728395368155,0.25880080507664427,3.1540585470560667,6.764600000000001,0.14840283223091508,-4.741953083055758,26.437975780893478
q_only,stress,47.118517918403306,0.09055273826488261,4.417747009007086,7.32,0.31091754137932276,-19.415460323050503,-1.3910933737539466
prior_only,stress,48.22779272867358,0.09074661360609229,4.429971484771972,7.5600000000000005,0.31115545979155673,-30.863415803719885,-1.5195636545670423
safety_only,stress,48.654381002491235,0.09493296431094002,4.009109926062163,7.724,0.3012266893871653,-18.687401353919253,-0.7087092429674775
prior_safety,stress,47.35551574683844,0.09362832922725164,4.036558399718732,7.2784,0.30203929742099994,-28.515197526990814,-0.7244018835574548
